dato;produksjon
28.11.04;523
29.11.04;1782
30.11.04;2153
01.12.04;1740
02.12.04;398
03.12.04;1647
04.12.04;2329
05.12.04;1781
06.12.04;1549
07.12.04;1302
08.12.04;1823
09.12.04;1611
10.12.04;1803
11.12.04;2934
12.12.04;2824
13.12.04;900
14.12.04;1878
15.12.04;2373
16.12.04;1585
17.12.04;1086
18.12.04;1021
19.12.04;1112
20.12.04;546
21.12.04;2204
22.12.04;2020
23.12.04;1377
24.12.04;2442
25.12.04;744
26.12.04;1596
27.12.04;1585
28.12.04;1061
29.12.04;1429
30.12.04;2373
31.12.04;2593
01.01.05;1763
02.01.05;1938
03.01.05;2158
04.01.05;1559
05.01.05;2204
06.01.05;2023
07.01.05;1762
08.01.05;1298
09.01.05;2417
10.01.05;992
11.01.05;1655
12.01.05;1109
13.01.05;1649
14.01.05;1157
15.01.05;569
16.01.05;1475
17.01.05;1226
18.01.05;619
19.01.05;1329
20.01.05;898
21.01.05;750
22.01.05;1621
23.01.05;1772
24.01.05;445
25.01.05;1319
26.01.05;1461
27.01.05;1047
28.01.05;584
29.01.05;2563
30.01.05;1288
31.01.05;1904
01.02.05;2176
02.02.05;1781
03.02.05;2461
04.02.05;2041
05.02.05;955
06.02.05;872
07.02.05;1048
08.02.05;1443
09.02.05;1390
10.02.05;2172
11.02.05;2327
12.02.05;980
13.02.05;492
14.02.05;462
15.02.05;535
16.02.05;1092
17.02.05;2112
18.02.05;1625
19.02.05;1443
20.02.05;563
21.02.05;322
22.02.05;1904
23.02.05;1246
24.02.05;416
25.02.05;661
26.02.05;723
27.02.05;717
28.02.05;520
01.03.05;644
02.03.05;981
03.03.05;1099
04.03.05;672
05.03.05;855
06.03.05;1935
07.03.05;1051
08.03.05;422
09.03.05;1038
10.03.05;2159
11.03.05;706
12.03.05;591
13.03.05;657
14.03.05;145
15.03.05;556
16.03.05;864
17.03.05;1361
18.03.05;848
19.03.05;471
20.03.05;550
21.03.05;901
22.03.05;204
23.03.05;629
24.03.05;1389
25.03.05;368
26.03.05;367
27.03.05;166
28.03.05;481
29.03.05;742
30.03.05;398
31.03.05;561
01.04.05;377
02.04.05;1775
03.04.05;316
04.04.05;925
05.04.05;1749
06.04.05;1474
07.04.05;997
08.04.05;2132
09.04.05;673
10.04.05;1099
11.04.05;1644
12.04.05;2858
13.04.05;2706
14.04.05;1472
15.04.05;209
16.04.05;925
17.04.05;769
18.04.05;867
19.04.05;515
20.04.05;539
21.04.05;420
22.04.05;374
23.04.05;602
24.04.05;565
25.04.05;216
26.04.05;261
27.04.05;257
28.04.05;370
29.04.05;829
30.04.05;754
01.05.05;930
02.05.05;998
03.05.05;724
04.05.05;1551
05.05.05;1523
06.05.05;753
07.05.05;333
08.05.05;469
09.05.05;251
10.05.05;618
11.05.05;1324
12.05.05;1898
13.05.05;287
14.05.05;1890
15.05.05;367
16.05.05;373
17.05.05;733
18.05.05;569
19.05.05;778
20.05.05;453
21.05.05;464
22.05.05;280
23.05.05;611
24.05.05;779
25.05.05;1453
26.05.05;1301
27.05.05;2107
28.05.05;1846
29.05.05;1312
30.05.05;551
31.05.05;598
01.06.05;401
02.06.05;536
03.06.05;326
04.06.05;764
05.06.05;812
06.06.05;1241
07.06.05;2067
08.06.05;2289
09.06.05;2222
10.06.05;2535
11.06.05;763
12.06.05;1410
13.06.05;1114
14.06.05;1629
15.06.05;526
16.06.05;280
17.06.05;555
18.06.05;518
19.06.05;415
20.06.05;143
21.06.05;138
22.06.05;371
23.06.05;1430
24.06.05;1344
25.06.05;1387
26.06.05;1975
27.06.05;2437
28.06.05;1228
29.06.05;518
30.06.05;305
01.07.05;252
02.07.05;323
03.07.05;274
04.07.05;138
05.07.05;494
06.07.05;445
07.07.05;267
08.07.05;42
09.07.05;113
10.07.05;461
11.07.05;699
12.07.05;2122
13.07.05;2509
14.07.05;1159
15.07.05;116
16.07.05;212
17.07.05;189
18.07.05;188
19.07.05;158
20.07.05;573
21.07.05;384
22.07.05;360
23.07.05;485
24.07.05;426
25.07.05;310
26.07.05;126
27.07.05;115
28.07.05;737
29.07.05;536
30.07.05;678
31.07.05;1561
01.08.05;1034
02.08.05;627
03.08.05;592
04.08.05;287
05.08.05;804
06.08.05;868
07.08.05;1589
08.08.05;575
09.08.05;61
10.08.05;462
11.08.05;720
12.08.05;813
13.08.05;119
14.08.05;502
15.08.05;1107
16.08.05;1858
17.08.05;541
18.08.05;257
19.08.05;360
20.08.05;456
21.08.05;533
22.08.05;365
23.08.05;542
24.08.05;1292
25.08.05;959
26.08.05;901
