,region,type,time,variable,value
1861,Stavanger,00 Boliger i alt,2010-09-01,"Prisindeks for brukte boliger, sesongjustert",88.7
1863,Stavanger,00 Boliger i alt,2010-12-01,"Prisindeks for brukte boliger, sesongjustert",90.5
1865,Stavanger,00 Boliger i alt,2011-03-01,"Prisindeks for brukte boliger, sesongjustert",94.2
1867,Stavanger,00 Boliger i alt,2011-06-01,"Prisindeks for brukte boliger, sesongjustert",95.1
1869,Stavanger,00 Boliger i alt,2011-09-01,"Prisindeks for brukte boliger, sesongjustert",96.7
1871,Stavanger,00 Boliger i alt,2011-12-01,"Prisindeks for brukte boliger, sesongjustert",98.7
1873,Stavanger,00 Boliger i alt,2012-03-01,"Prisindeks for brukte boliger, sesongjustert",99.6
1875,Stavanger,00 Boliger i alt,2012-06-01,"Prisindeks for brukte boliger, sesongjustert",102.6
1877,Stavanger,00 Boliger i alt,2012-09-01,"Prisindeks for brukte boliger, sesongjustert",105.8
1879,Stavanger,00 Boliger i alt,2012-12-01,"Prisindeks for brukte boliger, sesongjustert",105.7
1881,Stavanger,00 Boliger i alt,2013-03-01,"Prisindeks for brukte boliger, sesongjustert",107.2
1883,Stavanger,00 Boliger i alt,2013-06-01,"Prisindeks for brukte boliger, sesongjustert",107.2
1885,Stavanger,00 Boliger i alt,2013-09-01,"Prisindeks for brukte boliger, sesongjustert",105.4
1887,Stavanger,00 Boliger i alt,2013-12-01,"Prisindeks for brukte boliger, sesongjustert",103.8
1889,Stavanger,00 Boliger i alt,2014-03-01,"Prisindeks for brukte boliger, sesongjustert",101.5
1891,Stavanger,00 Boliger i alt,2014-06-01,"Prisindeks for brukte boliger, sesongjustert",105.0
1893,Stavanger,00 Boliger i alt,2014-09-01,"Prisindeks for brukte boliger, sesongjustert",104.6
1895,Stavanger,00 Boliger i alt,2014-12-01,"Prisindeks for brukte boliger, sesongjustert",104.7
1897,Stavanger,00 Boliger i alt,2015-03-01,"Prisindeks for brukte boliger, sesongjustert",103.7
1899,Stavanger,00 Boliger i alt,2015-06-01,"Prisindeks for brukte boliger, sesongjustert",101.0
1901,Stavanger,00 Boliger i alt,2015-09-01,"Prisindeks for brukte boliger, sesongjustert",99.2
1903,Stavanger,00 Boliger i alt,2015-12-01,"Prisindeks for brukte boliger, sesongjustert",96.0
1905,Stavanger,00 Boliger i alt,2016-03-01,"Prisindeks for brukte boliger, sesongjustert",93.1
1907,Stavanger,00 Boliger i alt,2016-06-01,"Prisindeks for brukte boliger, sesongjustert",93.0
1909,Stavanger,00 Boliger i alt,2016-09-01,"Prisindeks for brukte boliger, sesongjustert",94.0
1911,Stavanger,00 Boliger i alt,2016-12-01,"Prisindeks for brukte boliger, sesongjustert",96.2
1913,Stavanger,00 Boliger i alt,2017-03-01,"Prisindeks for brukte boliger, sesongjustert",98.3
1915,Stavanger,00 Boliger i alt,2017-06-01,"Prisindeks for brukte boliger, sesongjustert",99.4
1917,Stavanger,00 Boliger i alt,2017-09-01,"Prisindeks for brukte boliger, sesongjustert",97.0
1919,Stavanger,00 Boliger i alt,2017-12-01,"Prisindeks for brukte boliger, sesongjustert",99.7
1921,Stavanger,00 Boliger i alt,2018-03-01,"Prisindeks for brukte boliger, sesongjustert",98.6
1923,Stavanger,00 Boliger i alt,2018-06-01,"Prisindeks for brukte boliger, sesongjustert",98.2
1925,Stavanger,00 Boliger i alt,2018-09-01,"Prisindeks for brukte boliger, sesongjustert",98.2
2673,Bergen,00 Boliger i alt,2005-03-01,"Prisindeks for brukte boliger, sesongjustert",52.5
2675,Bergen,00 Boliger i alt,2005-06-01,"Prisindeks for brukte boliger, sesongjustert",54.0
2677,Bergen,00 Boliger i alt,2005-09-01,"Prisindeks for brukte boliger, sesongjustert",55.9
2679,Bergen,00 Boliger i alt,2005-12-01,"Prisindeks for brukte boliger, sesongjustert",56.7
2681,Bergen,00 Boliger i alt,2006-03-01,"Prisindeks for brukte boliger, sesongjustert",60.2
2683,Bergen,00 Boliger i alt,2006-06-01,"Prisindeks for brukte boliger, sesongjustert",62.5
2685,Bergen,00 Boliger i alt,2006-09-01,"Prisindeks for brukte boliger, sesongjustert",66.0
2687,Bergen,00 Boliger i alt,2006-12-01,"Prisindeks for brukte boliger, sesongjustert",68.9
2689,Bergen,00 Boliger i alt,2007-03-01,"Prisindeks for brukte boliger, sesongjustert",70.9
2691,Bergen,00 Boliger i alt,2007-06-01,"Prisindeks for brukte boliger, sesongjustert",70.5
2693,Bergen,00 Boliger i alt,2007-09-01,"Prisindeks for brukte boliger, sesongjustert",69.6
2695,Bergen,00 Boliger i alt,2007-12-01,"Prisindeks for brukte boliger, sesongjustert",68.8
2697,Bergen,00 Boliger i alt,2008-03-01,"Prisindeks for brukte boliger, sesongjustert",67.1
2699,Bergen,00 Boliger i alt,2008-06-01,"Prisindeks for brukte boliger, sesongjustert",66.9
2701,Bergen,00 Boliger i alt,2008-09-01,"Prisindeks for brukte boliger, sesongjustert",62.8
2703,Bergen,00 Boliger i alt,2008-12-01,"Prisindeks for brukte boliger, sesongjustert",60.2
2705,Bergen,00 Boliger i alt,2009-03-01,"Prisindeks for brukte boliger, sesongjustert",60.7
2707,Bergen,00 Boliger i alt,2009-06-01,"Prisindeks for brukte boliger, sesongjustert",63.4
2709,Bergen,00 Boliger i alt,2009-09-01,"Prisindeks for brukte boliger, sesongjustert",66.9
2711,Bergen,00 Boliger i alt,2009-12-01,"Prisindeks for brukte boliger, sesongjustert",68.4
2713,Bergen,00 Boliger i alt,2010-03-01,"Prisindeks for brukte boliger, sesongjustert",69.2
2715,Bergen,00 Boliger i alt,2010-06-01,"Prisindeks for brukte boliger, sesongjustert",72.6
2717,Bergen,00 Boliger i alt,2010-09-01,"Prisindeks for brukte boliger, sesongjustert",73.1
2719,Bergen,00 Boliger i alt,2010-12-01,"Prisindeks for brukte boliger, sesongjustert",74.5
2721,Bergen,00 Boliger i alt,2011-03-01,"Prisindeks for brukte boliger, sesongjustert",77.6
2723,Bergen,00 Boliger i alt,2011-06-01,"Prisindeks for brukte boliger, sesongjustert",77.9
2725,Bergen,00 Boliger i alt,2011-09-01,"Prisindeks for brukte boliger, sesongjustert",79.5
2727,Bergen,00 Boliger i alt,2011-12-01,"Prisindeks for brukte boliger, sesongjustert",82.7
2729,Bergen,00 Boliger i alt,2012-03-01,"Prisindeks for brukte boliger, sesongjustert",83.8
2731,Bergen,00 Boliger i alt,2012-06-01,"Prisindeks for brukte boliger, sesongjustert",82.5
2733,Bergen,00 Boliger i alt,2012-09-01,"Prisindeks for brukte boliger, sesongjustert",84.5
2735,Bergen,00 Boliger i alt,2012-12-01,"Prisindeks for brukte boliger, sesongjustert",87.1
2737,Bergen,00 Boliger i alt,2013-03-01,"Prisindeks for brukte boliger, sesongjustert",87.6
2739,Bergen,00 Boliger i alt,2013-06-01,"Prisindeks for brukte boliger, sesongjustert",90.5
