DK1,DK2,EE,FI,LT,LV,SE1,SE2,SE3,SE4,date,DK,SE
17650,2737,745.0,2601.0,3370,124.0,,,,,2018-11-07,20387,
8844,1154,184.0,3544.0,632,14.0,,,,,2018-11-08,9998,
13918,3007,151.0,5303.0,176,4.0,,,,,2018-11-09,16925,
48343,11518,881.0,22738.0,1423,51.0,,,,,2018-11-10,59861,
40223,12482,3342.0,22526.0,6605,534.0,,,,,2018-11-11,52705,
17427,3442,4261.0,29864.0,6343,428.0,,,,,2018-11-12,20869,
30311,9424,2779.0,19516.0,4984,477.0,,,,,2018-11-13,39735,
24474,5664,242.0,4238.0,999,16.0,,,,,2018-11-14,30138,
22014,4524,1294.0,29052.0,269,96.0,,,,,2018-11-15,26538,
25443,10349,3231.0,32896.0,1050,266.0,,,,,2018-11-16,35792,
12711,3260,3116.0,36380.0,918,190.0,,,,,2018-11-17,15971,
20725,8042,3964.0,19665.0,4582,528.0,,,,,2018-11-18,28767,
48658,17597,779.0,17391.0,5151,226.0,,,,,2018-11-19,66255,
60806,19398,446.0,24285.0,1888,47.0,,,,,2018-11-20,80204,
59407,18586,350.0,19746.0,997,49.0,,,,,2018-11-21,77993,
19651,5165,1448.0,12439.0,79,34.0,,,,,2018-11-22,24816,
7427,1190,1737.0,27616.0,586,224.0,,,,,2018-11-23,8617,
11587,569,1050.0,27375.0,220,38.0,,,,,2018-11-24,12156,
26699,5560,297.0,17684.0,242,15.0,,,,,2018-11-25,32259,
7464,3832,1046.0,21811.0,556,85.0,,,,,2018-11-26,11296,
7998,1359,1282.0,11619.0,818,43.0,,,,,2018-11-27,9357,
56078,15862,1088.0,28924.0,1091,94.0,,,,,2018-11-28,71940,
67585,22418,4676.0,40220.0,8304,916.0,,,,,2018-11-29,90003,
62207,14562,5872.0,41207.0,10712,1194.0,,,,,2018-11-30,76769,
30001,10309,3310.0,40877.0,4429,513.0,,,,,2018-12-01,40310,
34965,12117,1490.0,23564.0,2162,183.0,,,,,2018-12-02,47082,
52083,13536,1794.0,27942.0,4037,329.0,,,,,2018-12-03,65619,
69586,20163,3109.0,20250.0,5387,630.0,,,,,2018-12-04,89749,
17371,7571,3543.0,15554.0,5990,591.0,,,,,2018-12-05,24942,
26981,10696,1931.0,19938.0,3473,312.0,,,,,2018-12-06,37677,
