,currency,sector,credit_source,time,variable,value
94,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1995-10-01,Innenlandsk lσnegjeld,924.476
95,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1995-11-01,Innenlandsk lσnegjeld,928.021
96,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1995-12-01,Innenlandsk lσnegjeld,935.992
97,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1996-01-01,Innenlandsk lσnegjeld,937.502
98,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1996-02-01,Innenlandsk lσnegjeld,937.555
99,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1996-03-01,Innenlandsk lσnegjeld,942.23
100,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1996-04-01,Innenlandsk lσnegjeld,950.352
101,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1996-05-01,Innenlandsk lσnegjeld,954.092
102,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1996-06-01,Innenlandsk lσnegjeld,956.86
103,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1996-07-01,Innenlandsk lσnegjeld,959.948
104,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1996-08-01,Innenlandsk lσnegjeld,966.319
105,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1996-09-01,Innenlandsk lσnegjeld,974.823
106,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1996-10-01,Innenlandsk lσnegjeld,981.645
107,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1996-11-01,Innenlandsk lσnegjeld,987.701
108,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1996-12-01,Innenlandsk lσnegjeld,992.53
109,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1997-01-01,Innenlandsk lσnegjeld,998.924
110,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1997-02-01,Innenlandsk lσnegjeld,1004.961
111,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1997-03-01,Innenlandsk lσnegjeld,1013.388
112,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1997-04-01,Innenlandsk lσnegjeld,1031.411
113,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1997-05-01,Innenlandsk lσnegjeld,1037.871
114,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1997-06-01,Innenlandsk lσnegjeld,1052.177
115,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1997-07-01,Innenlandsk lσnegjeld,1056.548
116,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1997-08-01,Innenlandsk lσnegjeld,1062.207
117,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1997-09-01,Innenlandsk lσnegjeld,1071.271
118,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1997-10-01,Innenlandsk lσnegjeld,1082.014
119,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1997-11-01,Innenlandsk lσnegjeld,1090.771
120,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1997-12-01,Innenlandsk lσnegjeld,1099.105
121,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1998-01-01,Innenlandsk lσnegjeld,1108.798
122,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1998-02-01,Innenlandsk lσnegjeld,1116.629
123,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1998-03-01,Innenlandsk lσnegjeld,1130.051
124,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1998-04-01,Innenlandsk lσnegjeld,1137.989
125,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1998-05-01,Innenlandsk lσnegjeld,1146.373
126,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1998-06-01,Innenlandsk lσnegjeld,1157.674
127,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1998-07-01,Innenlandsk lσnegjeld,1162.142
128,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1998-08-01,Innenlandsk lσnegjeld,1171.262
129,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1998-09-01,Innenlandsk lσnegjeld,1167.682
130,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1998-10-01,Innenlandsk lσnegjeld,1177.593
131,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1998-11-01,Innenlandsk lσnegjeld,1184.212
132,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1998-12-01,Innenlandsk lσnegjeld,1192.814
133,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1999-01-01,Innenlandsk lσnegjeld,1195.039
134,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1999-02-01,Innenlandsk lσnegjeld,1206.73
135,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1999-03-01,Innenlandsk lσnegjeld,1211.343
136,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1999-04-01,Innenlandsk lσnegjeld,1218.522
137,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1999-05-01,Innenlandsk lσnegjeld,1232.086
138,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1999-06-01,Innenlandsk lσnegjeld,1241.652
139,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1999-07-01,Innenlandsk lσnegjeld,1245.327
140,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1999-08-01,Innenlandsk lσnegjeld,1250.792
141,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1999-09-01,Innenlandsk lσnegjeld,1262.427
142,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1999-10-01,Innenlandsk lσnegjeld,1277.542
143,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1999-11-01,Innenlandsk lσnegjeld,1286.05
144,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,1999-12-01,Innenlandsk lσnegjeld,1295.024
145,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2000-01-01,Innenlandsk lσnegjeld,1303.61
146,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2000-02-01,Innenlandsk lσnegjeld,1314.494
147,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2000-03-01,Innenlandsk lσnegjeld,1329.869
148,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2000-04-01,Innenlandsk lσnegjeld,1354.082
149,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2000-05-01,Innenlandsk lσnegjeld,1365.813
150,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2000-06-01,Innenlandsk lσnegjeld,1377.995
151,00 I alt,Kred01 Publikum,LTOT Lσnegjeld i alt,2000-07-01,Innenlandsk lσnegjeld,1392.57
