,currency,sector,credit_source,time,variable,value
9022,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1993-10-01,Innenlandsk lσnegjeld,319.988
9023,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1993-11-01,Innenlandsk lσnegjeld,316.646
9024,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1993-12-01,Innenlandsk lσnegjeld,311.204
9025,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1994-01-01,Innenlandsk lσnegjeld,313.979
9026,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1994-02-01,Innenlandsk lσnegjeld,312.997
9027,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1994-03-01,Innenlandsk lσnegjeld,313.575
9028,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1994-04-01,Innenlandsk lσnegjeld,314.204
9029,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1994-05-01,Innenlandsk lσnegjeld,314.458
9030,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1994-06-01,Innenlandsk lσnegjeld,283.791
9031,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1994-07-01,Innenlandsk lσnegjeld,278.704
9032,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1994-08-01,Innenlandsk lσnegjeld,275.742
9033,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1994-09-01,Innenlandsk lσnegjeld,276.843
9034,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1994-10-01,Innenlandsk lσnegjeld,279.172
9035,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1994-11-01,Innenlandsk lσnegjeld,279.117
9036,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1994-12-01,Innenlandsk lσnegjeld,280.145
9037,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1995-01-01,Innenlandsk lσnegjeld,278.303
9038,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1995-02-01,Innenlandsk lσnegjeld,281.887
9039,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1995-03-01,Innenlandsk lσnegjeld,286.176
9040,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1995-04-01,Innenlandsk lσnegjeld,287.801
9041,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1995-05-01,Innenlandsk lσnegjeld,287.445
9042,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1995-06-01,Innenlandsk lσnegjeld,287.404
9043,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1995-07-01,Innenlandsk lσnegjeld,286.408
9044,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1995-08-01,Innenlandsk lσnegjeld,290.277
9045,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1995-09-01,Innenlandsk lσnegjeld,293.07
9046,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1995-10-01,Innenlandsk lσnegjeld,296.502
9047,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1995-11-01,Innenlandsk lσnegjeld,296.463
9048,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1995-12-01,Innenlandsk lσnegjeld,298.768
9049,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1996-01-01,Innenlandsk lσnegjeld,297.695
9050,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1996-02-01,Innenlandsk lσnegjeld,297.868
9051,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1996-03-01,Innenlandsk lσnegjeld,299.832
9052,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1996-04-01,Innenlandsk lσnegjeld,305.271
9053,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1996-05-01,Innenlandsk lσnegjeld,306.635
9054,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1996-06-01,Innenlandsk lσnegjeld,307.515
9055,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1996-07-01,Innenlandsk lσnegjeld,307.64
9056,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1996-08-01,Innenlandsk lσnegjeld,311.17
9057,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1996-09-01,Innenlandsk lσnegjeld,314.533
9058,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1996-10-01,Innenlandsk lσnegjeld,318.699
9059,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1996-11-01,Innenlandsk lσnegjeld,320.383
9060,00 I alt,Kred03 Ikke-finansielle foretak,LTOT Lσnegjeld i alt,1996-12-01,Innenlandsk lσnegjeld,320.242
