,currency,sector,credit_source,time,variable,value
16086,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1995-12-01,Innenlandsk lσnegjeld,341.173
16087,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1996-01-01,Innenlandsk lσnegjeld,345.743
16088,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1996-02-01,Innenlandsk lσnegjeld,347.231
16089,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1996-03-01,Innenlandsk lσnegjeld,349.891
16090,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1996-04-01,Innenlandsk lσnegjeld,356.15
16091,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1996-05-01,Innenlandsk lσnegjeld,358.699
16092,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1996-06-01,Innenlandsk lσnegjeld,360.966
16093,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1996-07-01,Innenlandsk lσnegjeld,363.693
16094,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1996-08-01,Innenlandsk lσnegjeld,366.203
16095,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1996-09-01,Innenlandsk lσnegjeld,370.171
16096,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1996-10-01,Innenlandsk lσnegjeld,374.519
16097,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1996-11-01,Innenlandsk lσnegjeld,380.002
16098,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1996-12-01,Innenlandsk lσnegjeld,385.371
16099,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1997-01-01,Innenlandsk lσnegjeld,386.755
16100,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1997-02-01,Innenlandsk lσnegjeld,388.957
16101,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1997-03-01,Innenlandsk lσnegjeld,392.707
16102,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1997-04-01,Innenlandsk lσnegjeld,398.104
16103,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1997-05-01,Innenlandsk lσnegjeld,403.59
16104,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1997-06-01,Innenlandsk lσnegjeld,407.999
16105,00 I alt,Kred04 Husholdninger mv.,L202 Lσn fra banker,1997-07-01,Innenlandsk lσnegjeld,412.18
